"party_code","straight_average","electoral_votes","cumulative_ev","date"
"Democrat",0.99,108,108,2016-11-03
"Democrat",0.988,27,135,2016-11-03
"Democrat",0.987,26,161,2016-11-03
"Democrat",0.983,7,168,2016-11-03
"Democrat",0.978,4,172,2016-11-03
"Democrat",0.975,7,179,2016-11-03
"Democrat",0.973,3,182,2016-11-03
"Democrat",0.97,1,183,2016-11-03
"Democrat",0.958,5,188,2016-11-03
"Democrat",0.953,13,201,2016-11-03
"Democrat",0.95,10,211,2016-11-03
"Democrat",0.942,2,213,2016-11-03
"Democrat",0.933,10,223,2016-11-03
"Democrat",0.928,16,239,2016-11-03
"Democrat",0.92,20,259,2016-11-03
"Democrat",0.895,4,263,2016-11-03
"Democrat",0.872,9,272,2016-11-03
"Democrat",0.74,15,287,2016-11-03
"Democrat",0.708,29,316,2016-11-03
"Democrat",0.648,6,322,2016-11-03
"Democrat",0.536,1,323,2016-11-03
"Democrat",0.352,6,329,2016-11-03
"Democrat",0.348,18,347,2016-11-03
"Democrat",0.308,1,348,2016-11-03
"Democrat",0.278,11,359,2016-11-03
"Democrat",0.15,16,375,2016-11-03
"Democrat",0.137,6,381,2016-11-03
"Democrat",0.078,3,384,2016-11-03
"Democrat",0.073,9,393,2016-11-03
"Democrat",0.038,38,431,2016-11-03
"Democrat",0.032,16,447,2016-11-03
"Democrat",0.027,3,450,2016-11-03
"Democrat",0.026,1,451,2016-11-03
"Democrat",0.018,11,462,2016-11-03
"Democrat",0.017,3,465,2016-11-03
"Democrat",0.015,6,471,2016-11-03
"Democrat",0.013,22,493,2016-11-03
"Democrat",0.012,2,495,2016-11-03
"Democrat",0.01,43,538,2016-11-03
"Republican",0.99,43,43,2016-11-03
"Republican",0.988,2,45,2016-11-03
"Republican",0.987,22,67,2016-11-03
"Republican",0.985,6,73,2016-11-03
"Republican",0.983,3,76,2016-11-03
"Republican",0.982,11,87,2016-11-03
"Republican",0.974,1,88,2016-11-03
"Republican",0.973,3,91,2016-11-03
"Republican",0.968,16,107,2016-11-03
"Republican",0.962,38,145,2016-11-03
"Republican",0.927,9,154,2016-11-03
"Republican",0.922,3,157,2016-11-03
"Republican",0.863,6,163,2016-11-03
"Republican",0.85,16,179,2016-11-03
"Republican",0.722,11,190,2016-11-03
"Republican",0.692,1,191,2016-11-03
"Republican",0.652,18,209,2016-11-03
"Republican",0.648,6,215,2016-11-03
"Republican",0.464,1,216,2016-11-03
"Republican",0.352,6,222,2016-11-03
"Republican",0.292,29,251,2016-11-03
"Republican",0.26,15,266,2016-11-03
"Republican",0.128,9,275,2016-11-03
"Republican",0.105,4,279,2016-11-03
"Republican",0.08,20,299,2016-11-03
"Republican",0.072,16,315,2016-11-03
"Republican",0.067,10,325,2016-11-03
"Republican",0.058,2,327,2016-11-03
"Republican",0.05,10,337,2016-11-03
"Republican",0.047,13,350,2016-11-03
"Republican",0.042,5,355,2016-11-03
"Republican",0.03,1,356,2016-11-03
"Republican",0.027,3,359,2016-11-03
"Republican",0.025,7,366,2016-11-03
"Republican",0.022,4,370,2016-11-03
"Republican",0.017,7,377,2016-11-03
"Republican",0.013,26,403,2016-11-03
"Republican",0.012,27,430,2016-11-03
"Republican",0.01,108,538,2016-11-03
