"party_code","straight_average","electoral_votes","cumulative_ev","date"
"Democrat",0.99,112,112,2016-11-05
"Democrat",0.988,23,135,2016-11-05
"Democrat",0.987,26,161,2016-11-05
"Democrat",0.983,7,168,2016-11-05
"Democrat",0.977,4,172,2016-11-05
"Democrat",0.975,3,175,2016-11-05
"Democrat",0.973,7,182,2016-11-05
"Democrat",0.968,1,183,2016-11-05
"Democrat",0.947,5,188,2016-11-05
"Democrat",0.945,13,201,2016-11-05
"Democrat",0.935,2,203,2016-11-05
"Democrat",0.933,20,223,2016-11-05
"Democrat",0.927,16,239,2016-11-05
"Democrat",0.905,20,259,2016-11-05
"Democrat",0.902,9,268,2016-11-05
"Democrat",0.8,4,272,2016-11-05
"Democrat",0.722,29,301,2016-11-05
"Democrat",0.7,15,316,2016-11-05
"Democrat",0.663,6,322,2016-11-05
"Democrat",0.51,1,323,2016-11-05
"Democrat",0.31,18,341,2016-11-05
"Democrat",0.304,1,342,2016-11-05
"Democrat",0.255,6,348,2016-11-05
"Democrat",0.223,11,359,2016-11-05
"Democrat",0.133,16,375,2016-11-05
"Democrat",0.105,6,381,2016-11-05
"Democrat",0.072,3,384,2016-11-05
"Democrat",0.062,9,393,2016-11-05
"Democrat",0.032,6,399,2016-11-05
"Democrat",0.028,1,400,2016-11-05
"Democrat",0.027,38,438,2016-11-05
"Democrat",0.025,3,441,2016-11-05
"Democrat",0.017,13,454,2016-11-05
"Democrat",0.015,28,482,2016-11-05
"Democrat",0.013,8,490,2016-11-05
"Democrat",0.012,5,495,2016-11-05
"Democrat",0.01,43,538,2016-11-05
"Republican",0.99,43,43,2016-11-05
"Republican",0.988,5,48,2016-11-05
"Republican",0.987,8,56,2016-11-05
"Republican",0.985,28,84,2016-11-05
"Republican",0.983,13,97,2016-11-05
"Republican",0.975,3,100,2016-11-05
"Republican",0.973,38,138,2016-11-05
"Republican",0.972,1,139,2016-11-05
"Republican",0.968,6,145,2016-11-05
"Republican",0.938,9,154,2016-11-05
"Republican",0.928,3,157,2016-11-05
"Republican",0.895,6,163,2016-11-05
"Republican",0.867,16,179,2016-11-05
"Republican",0.777,11,190,2016-11-05
"Republican",0.745,6,196,2016-11-05
"Republican",0.696,1,197,2016-11-05
"Republican",0.69,18,215,2016-11-05
"Republican",0.49,1,216,2016-11-05
"Republican",0.337,6,222,2016-11-05
"Republican",0.3,15,237,2016-11-05
"Republican",0.278,29,266,2016-11-05
"Republican",0.2,4,270,2016-11-05
"Republican",0.098,9,279,2016-11-05
"Republican",0.095,20,299,2016-11-05
"Republican",0.073,16,315,2016-11-05
"Republican",0.067,20,335,2016-11-05
"Republican",0.065,2,337,2016-11-05
"Republican",0.055,13,350,2016-11-05
"Republican",0.053,5,355,2016-11-05
"Republican",0.032,1,356,2016-11-05
"Republican",0.027,7,363,2016-11-05
"Republican",0.025,3,366,2016-11-05
"Republican",0.023,4,370,2016-11-05
"Republican",0.017,7,377,2016-11-05
"Republican",0.013,26,403,2016-11-05
"Republican",0.012,23,426,2016-11-05
"Republican",0.01,112,538,2016-11-05
