"party_code","straight_average","electoral_votes","cumulative_ev","date"
"Democrat",0.99,112,112,2016-11-07
"Democrat",0.988,23,135,2016-11-07
"Democrat",0.987,26,161,2016-11-07
"Democrat",0.983,7,168,2016-11-07
"Democrat",0.978,4,172,2016-11-07
"Democrat",0.977,3,175,2016-11-07
"Democrat",0.975,7,182,2016-11-07
"Democrat",0.968,1,183,2016-11-07
"Democrat",0.948,13,196,2016-11-07
"Democrat",0.943,10,206,2016-11-07
"Democrat",0.94,10,216,2016-11-07
"Democrat",0.935,2,218,2016-11-07
"Democrat",0.933,5,223,2016-11-07
"Democrat",0.918,16,239,2016-11-07
"Democrat",0.912,9,248,2016-11-07
"Democrat",0.908,20,268,2016-11-07
"Democrat",0.775,4,272,2016-11-07
"Democrat",0.723,29,301,2016-11-07
"Democrat",0.685,6,307,2016-11-07
"Democrat",0.647,15,322,2016-11-07
"Democrat",0.5,1,323,2016-11-07
"Democrat",0.335,18,341,2016-11-07
"Democrat",0.286,1,342,2016-11-07
"Democrat",0.195,6,348,2016-11-07
"Democrat",0.157,11,359,2016-11-07
"Democrat",0.15,16,375,2016-11-07
"Democrat",0.093,6,381,2016-11-07
"Democrat",0.065,3,384,2016-11-07
"Democrat",0.058,9,393,2016-11-07
"Democrat",0.032,6,399,2016-11-07
"Democrat",0.026,1,400,2016-11-07
"Democrat",0.025,3,403,2016-11-07
"Democrat",0.023,38,441,2016-11-07
"Democrat",0.017,3,444,2016-11-07
"Democrat",0.015,21,465,2016-11-07
"Democrat",0.012,22,487,2016-11-07
"Democrat",0.01,51,538,2016-11-07
"Republican",0.99,51,51,2016-11-07
"Republican",0.988,22,73,2016-11-07
"Republican",0.985,21,94,2016-11-07
"Republican",0.983,3,97,2016-11-07
"Republican",0.977,38,135,2016-11-07
"Republican",0.975,3,138,2016-11-07
"Republican",0.974,1,139,2016-11-07
"Republican",0.968,6,145,2016-11-07
"Republican",0.942,9,154,2016-11-07
"Republican",0.935,3,157,2016-11-07
"Republican",0.907,6,163,2016-11-07
"Republican",0.85,16,179,2016-11-07
"Republican",0.843,11,190,2016-11-07
"Republican",0.805,6,196,2016-11-07
"Republican",0.714,1,197,2016-11-07
"Republican",0.665,18,215,2016-11-07
"Republican",0.5,1,216,2016-11-07
"Republican",0.353,15,231,2016-11-07
"Republican",0.315,6,237,2016-11-07
"Republican",0.277,29,266,2016-11-07
"Republican",0.225,4,270,2016-11-07
"Republican",0.092,20,290,2016-11-07
"Republican",0.088,9,299,2016-11-07
"Republican",0.082,16,315,2016-11-07
"Republican",0.067,5,320,2016-11-07
"Republican",0.065,2,322,2016-11-07
"Republican",0.06,10,332,2016-11-07
"Republican",0.057,10,342,2016-11-07
"Republican",0.052,13,355,2016-11-07
"Republican",0.032,1,356,2016-11-07
"Republican",0.025,7,363,2016-11-07
"Republican",0.023,3,366,2016-11-07
"Republican",0.022,4,370,2016-11-07
"Republican",0.017,7,377,2016-11-07
"Republican",0.013,26,403,2016-11-07
"Republican",0.012,23,426,2016-11-07
"Republican",0.01,112,538,2016-11-07
