"party_code","straight_average","electoral_votes","cumulative_ev","date"
"Democrat",0.99,112,112,2016-11-04
"Democrat",0.988,23,135,2016-11-04
"Democrat",0.987,12,147,2016-11-04
"Democrat",0.983,14,161,2016-11-04
"Democrat",0.982,7,168,2016-11-04
"Democrat",0.977,4,172,2016-11-04
"Democrat",0.975,10,182,2016-11-04
"Democrat",0.97,1,183,2016-11-04
"Democrat",0.95,18,201,2016-11-04
"Democrat",0.935,2,203,2016-11-04
"Democrat",0.933,10,213,2016-11-04
"Democrat",0.927,26,239,2016-11-04
"Democrat",0.908,20,259,2016-11-04
"Democrat",0.89,9,268,2016-11-04
"Democrat",0.812,4,272,2016-11-04
"Democrat",0.723,29,301,2016-11-04
"Democrat",0.713,15,316,2016-11-04
"Democrat",0.658,6,322,2016-11-04
"Democrat",0.514,1,323,2016-11-04
"Democrat",0.308,1,324,2016-11-04
"Democrat",0.305,18,342,2016-11-04
"Democrat",0.298,6,348,2016-11-04
"Democrat",0.237,11,359,2016-11-04
"Democrat",0.162,16,375,2016-11-04
"Democrat",0.097,6,381,2016-11-04
"Democrat",0.073,3,384,2016-11-04
"Democrat",0.067,9,393,2016-11-04
"Democrat",0.033,6,399,2016-11-04
"Democrat",0.028,39,438,2016-11-04
"Democrat",0.027,10,448,2016-11-04
"Democrat",0.025,3,451,2016-11-04
"Democrat",0.018,11,462,2016-11-04
"Democrat",0.017,3,465,2016-11-04
"Democrat",0.015,25,490,2016-11-04
"Democrat",0.013,3,493,2016-11-04
"Democrat",0.012,2,495,2016-11-04
"Democrat",0.01,43,538,2016-11-04
"Republican",0.99,43,43,2016-11-04
"Republican",0.988,2,45,2016-11-04
"Republican",0.987,3,48,2016-11-04
"Republican",0.985,25,73,2016-11-04
"Republican",0.983,3,76,2016-11-04
"Republican",0.982,11,87,2016-11-04
"Republican",0.975,3,90,2016-11-04
"Republican",0.973,10,100,2016-11-04
"Republican",0.972,39,139,2016-11-04
"Republican",0.967,6,145,2016-11-04
"Republican",0.933,9,154,2016-11-04
"Republican",0.927,3,157,2016-11-04
"Republican",0.903,6,163,2016-11-04
"Republican",0.838,16,179,2016-11-04
"Republican",0.763,11,190,2016-11-04
"Republican",0.702,6,196,2016-11-04
"Republican",0.695,18,214,2016-11-04
"Republican",0.692,1,215,2016-11-04
"Republican",0.486,1,216,2016-11-04
"Republican",0.342,6,222,2016-11-04
"Republican",0.287,15,237,2016-11-04
"Republican",0.277,29,266,2016-11-04
"Republican",0.188,4,270,2016-11-04
"Republican",0.11,9,279,2016-11-04
"Republican",0.092,20,299,2016-11-04
"Republican",0.073,26,325,2016-11-04
"Republican",0.067,10,335,2016-11-04
"Republican",0.065,2,337,2016-11-04
"Republican",0.05,18,355,2016-11-04
"Republican",0.03,1,356,2016-11-04
"Republican",0.025,10,366,2016-11-04
"Republican",0.023,4,370,2016-11-04
"Republican",0.018,7,377,2016-11-04
"Republican",0.017,14,391,2016-11-04
"Republican",0.013,12,403,2016-11-04
"Republican",0.012,23,426,2016-11-04
"Republican",0.01,112,538,2016-11-04
